Location,Crossnumber,TrialName,FemalePlotName,FemaleGenotype,Cycle,MaleGenotype,MalePlotName,First Pollination Date,Number of Repeats,Bunch Harvest Date,Seed Extraction Date,Total Seeds,Good Seeds,Embryo Rescue Date,Number of Embryo Rescued,Number of Embryo Germinating,Germination Date,FemalePloidy,FemaleLink,MalePloidy,MaleLink
Arusha,BT201804_(136492C2/136283),NA,136492,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136283,2018-04-07,6,2018-09-11,2018-09-27,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,BT201804_(136513C2/136328),NA,136513,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136328,2018-04-06,6,2018-09-11,2018-10-08,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,BT201804_(136514C2/136328),NA,136514,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136328,2018-04-06,4,2018-09-26,2018-10-10,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,BT201804_(136642C2/136599),NA,136642,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136599,2018-04-06,3,2018-10-02,2018-10-11,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,BT201804_(136650C2/136460),NA,136650,Huti white,2,ITC0712-Aacv_Rose,136460,2018-04-07,3,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201804_(136345C2/136328),NA,136345,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136328,2018-04-09,6,2018-10-02,2018-10-11,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201804_(136468C2/136357),NA,136468,ITC1460-Ijihu_nkundu,2,ITC0609-Pahang,136357,2018-04-12,5,2018-11-08,2018-11-14,3,NA,NA,NA,1,2019-01-02,2X,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201804_(136523C2/136490),NA,136523,ITC1468-kahuti,2,ITC0712-Aacv_Rose,136490,2018-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201804_(136664C2/136490),NA,136664,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136490,2018-04-12,5,2018-11-09,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201804_(136697C2/136357),NA,136697,ITC1468-kahuti,2,ITC0609-Pahang,136357,2018-04-16,4,2018-09-11,2018-09-27,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201804_389,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot714r34c1,Huti white,NA,ITC0425-SH-3142,NA,2018-04-18,NA,2018-10-22,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201804_396,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot673r33c1,Huti white,NA,ITC0425-SH-3142,NA,2018-04-23,NA,2018-11-08,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_(136302C2/136460),NA,136302,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136460,2018-05-09,3,2018-10-17,2018-10-24,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136316C2/136460),NA,136316,ITC1460-Ijihu_nkundu,2,ITC0712-Aacv_Rose,136460,2018-05-18,2,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136418C2/136460),NA,136418,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136460,2018-05-14,4,2018-09-26,2018-10-11,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136440C2/136460),NA,136440,ITC1468-kahuti,2,ITC0712-Aacv_Rose,136460,2018-05-09,7,2018-11-06,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136441C1/136460),NA,136441,ITC1468-kahuti,1,ITC0712-Aacv_Rose,136460,2018-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136452C/136490),NA,136452,Mchare Laini,NA,ITC0712-Aacv_Rose,136490,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136456C2/136460),2016 NM_Pollination block,136456,Huti white,2,ITC0712-Aacv_Rose,136460,2018-05-31,7,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136474C/136490),NA,136474,ITC1455-Mchare Mlelembo,NA,ITC0712-Aacv_Rose,136490,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136491C1/136460),NA,136491,ITC1468-kahuti,1,ITC0712-Aacv_Rose,136460,2018-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136494C1/136357),NA,136494,ITC1455-Mchare Mlelembo,1,ITC0609-Pahang,136357,2018-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201805_(136504C/136490),NA,136504,ITC1455-Mchare Mlelembo,NA,ITC0712-Aacv_Rose,136490,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136532C2/136460),NA,136532,ITC1468-kahuti,2,ITC0712-Aacv_Rose,136460,2018-05-09,4,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136532C3/136490),NA,136532,ITC1468-kahuti,3,ITC0712-Aacv_Rose,136490,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136603C2/136357),2016 NM_Pollination block,136603,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136357,2018-05-29,7,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201805_(136654C2/136460),NA,136654,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136460,2018-05-14,4,2018-10-02,2018-10-11,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_(136658C/136357),NA,136658,ITC1455-Mchare Mlelembo,NA,ITC0609-Pahang,136357,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201805_(136667C1/136357),NA,136667,ITC1468-kahuti,1,ITC0609-Pahang,136357,2018-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201805_(136696C/136490),NA,136696,ITC1455-Mchare Mlelembo,NA,ITC0712-Aacv_Rose,136490,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
